chr2L:5037-9636	2L:5037..9636
chr2L:365873-385436	2L:365873..385436
chr2L:498173-529836	2L:498173..529836
chr2L:582373-602136	2L:582373..602136
chr2L:677737-718872	2L:677737..718872
chr2L:1946973-1973936	2L:1946973..1973936
chr2L:2443073-2469936	2L:2443073..2469936
chr2L:2782473-2836136	2L:2782473..2836136
chr2L:3531473-3617836	2L:3531473..3617836
chr2L:3657973-3668536	2L:3657973..3668536
chr2L:3815173-3861036	2L:3815173..3861036
chr2L:4798973-4810136	2L:4798973..4810136
chr2L:5379173-5477136	2L:5379173..5477136
chr2L:5862773-5906136	2L:5862773..5906136
chr2L:6014673-6022636	2L:6014673..6022636
chr2L:6168073-6268636	2L:6168073..6268636
chr2L:6531973-6552936	2L:6531973..6552936
chr2L:6813673-6846136	2L:6813673..6846136
chr2L:7092273-7162136	2L:7092273..7162136
chr2L:7283973-7314536	2L:7283973..7314536
chr2L:7546273-7640236	2L:7546273..7640236
chr2L:8811273-8885836	2L:8811273..8885836
chr2L:9577573-9611836	2L:9577573..9611836
chr2L:10292473-10298036	2L:10292473..10298036
chr2L:10349173-10356336	2L:10349173..10356336
chr2L:10531937-10615036	2L:10531937..10615036
chr2L:11183573-11231936	2L:11183573..11231936
chr2L:11329673-11471936	2L:11329673..11471936
chr2L:12004073-12010136	2L:12004073..12010136
chr2L:12076873-12093136	2L:12076873..12093136
chr2L:12577473-12682736	2L:12577473..12682736
chr2L:13846337-13891836	2L:13846337..13891836
chr2L:14084673-14114736	2L:14084673..14114736
chr2L:14253573-14277936	2L:14253573..14277936
chr2L:14376673-14588536	2L:14376673..14588536
chr2L:15098973-15113336	2L:15103044..15117407
chr2L:15307673-15490936	2L:15311744..15495007
chr2L:16416273-16487636	2L:16420344..16491707
chr2L:17152073-17291936	2L:17156144..17296007
chr2L:17719773-17762336	2L:17723844..17766407
chr2L:18300673-18382836	2L:18304744..18386907
chr2L:18594473-18604336	2L:18598544..18608407
chr2L:18730573-18814436	2L:18734644..18818507
chr2L:18861673-18937236	2L:18865744..18941307
chr2L:19191573-19240336	2L:19195644..19244407
chr2L:19279073-19337636	2L:19283144..19341707
chr2L:19766673-19772936	2L:19770744..19777007
chr2L:19861073-19900836	2L:19865144..19904907
chr2L:20767973-20786536	2L:20780380..20798943
chr2L:21782673-22031536	2L:21795080..22043943
chr2R:1605616-1637679	2R:6098228..6130291
chr2R:2208016-2236779	2R:6696203..6724966
chr2R:2369316-2451079	2R:6857503..6939266
chr2R:3297616-3322279	2R:7785803..7810466
chr2R:3740716-3749379	2R:8228903..8237566
