Chr	Start	End	CRMName	GeneName
4	1052028	1052142	ATPsyn-beta_F1ATPase-p110	ATPsyn-beta
4	1051882	1052142	ATPsyn-beta_F1ATPase-p250	ATPsyn-beta
4	730173	730453	ey_280_bp	ey
4	730255	730465	ey_DO2	ey
4	720154	724914	ey_ey12	ey
4	724220	724914	ey_UE0.9	ey
4	720154	721939	ey_UE2.0	ey
4	721938	724221	ey_UE2.3	ey
4	1116239	1116601	sv_SME	sv
2L	13904732	13905265	Ance_race_533	Ance
2L	2181550	2185836	aop_A-lacZ	aop
2L	2176639	2181550	aop_B-lacZ	aop
2L	2174335	2176640	aop_C-lacZ	aop
2L	2172660	2179435	aop_D-lacZ	aop
2L	2167496	2172661	aop_E-lacZ	aop
2L	2181839	2182626	aop_J-lacZ	aop
2L	2182323	2182445	aop_O-lacZ	aop
2L	3774633	3775021	bowl_O-E	bowl
2L	20772262	20773899	cad_+14_construct	cad
2L	16457449	16457642	dac_3EE-194	dac
2L	16465614	16467350	dac_5EE	dac
2L	19116229	19116701	Ddc_-0.47	Ddc
2L	19116229	19116349	Ddc_5'del-126	Ddc
2L	19116994	19117857	Ddc_distal_enhancer	Ddc
2L	19116284	19116300	Ddc_ElementI	Ddc
2L	19117655	19118296	Ddc_silencing_element	Ddc
2L	3615926	3619183	Dot_enhancer	Dot
2L	2463167	2471968	dpp_BS1.0	dpp
2L	2469788	2471526	dpp_BS1.1	dpp
2L	2471967	2475410	dpp_BS2.0	dpp
2L	2475948	2487950	dpp_BS3.0	dpp
2L	2481156	2482836	dpp_BS3.21	dpp
2L	2481527	2483190	dpp_BS3.22	dpp
2L	2481155	2481964	dpp_construct10	dpp
2L	2454714	2454743	dpp_core_promoter	dpp
2L	2456345	2456884	dpp_dl_mel	dpp
2L	2446030	2446286	dpp_dpp261	dpp
2L	2446030	2446449	dpp_dpp419	dpp
2L	2445769	2446581	dpp_dpp813	dpp
2L	2483120	2483478	dpp_dppho	dpp
2L	2455781	2457764	dpp_intron2	dpp
2L	2453756	2454226	dpp_phaseIII	dpp
2L	2453756	2454345	dpp_phasesII/III	dpp
2L	19195039	19196250	drl_drlR	drl
2L	19189646	19192890	drl_drlT	drl
2L	19185372	19189647	drl_drlU	drl
2L	19189646	19195040	drl_drlW	drl
2L	19197626	19202001	drl_drlZ	drl
2L	6547530	6547891	eya_eya[2]_deletion	eya
2L	9577222	9577965	gcm_+3.8/+4.5	gcm
2L	9581741	9581960	gcm_-0.2	gcm
2L	9593723	9602606	gcm_-11.5/-20	gcm
2L	9605401	9611017	gcm_-29/-24	gcm
2L	9581741	9586615	gcm_-4.9	gcm
2L	9586087	9589095	gcm_-7.4/-4.4	gcm
2L	589865	590364	Gsc_peak_+4.3	Gsc
2L	10293549	10294062	Hand_HCH	Hand
2L	10701363	10701980	Lip1_prom	Lip1
2L	20468170	20469334	miR-1_miR-1_enhancer	mir-1
2L	14490559	14491058	noc_peak_-0.3	noc
2L	14489159	14489658	noc_peak_-1.7	noc
2L	12615791	12617776	nub_-2_construct	nub
2L	12616132	12617344	nub_CE8011	nub
2L	3608811	3610461	odd_-3_construct	odd
2L	3610419	3611803	odd_-5_construct	odd
2L	3608834	3610207	odd_CE8010	odd
2L	12678897	12680520	pdm2_+1_construct	pdm2
2L	12674734	12676045	pdm2_CE8012	pdm2
2L	12681862	12682511	pdm2_peak_+3.3	pdm2
2L	18009141	18011540	PFE_PE	PFE
2L	12092691	12095792	prd_A8_repressor	prd
2L	12087091	12087892	prd_cc_repressor	prd
2L	12080487	12081888	prd_O-E	prd
2L	12087891	12088492	prd_P1_enhancer	prd
2L	12078033	12078885	prd_PMFE	prd
2L	12088791	12089492	prd_Pstripe_enhancer	prd
2L	12089991	12090392	prd_stripe1_enhancer	prd
2L	12090991	12092692	prd_stripe2P_enhancer	prd
2L	12084451	12086021	prd_zebra_enhancer	prd
2L	11381785	11387168	salm_ABI	salm
2L	11381685	11384686	salm_ABO	salm
2L	11405694	11410695	salm_AK	salm
2L	11374641	11380630	salm_AL	salm
2L	11360170	11362100	salm_AM	salm
2L	11355017	11355451	salm_AS	salm
2L	11348615	11352839	salm_AZA	salm
2L	11352838	11355018	salm_AZO	salm
2L	11410694	11413358	salm_BAT	salm
2L	11355450	11355940	salm_BE	salm
2L	11399922	11410695	salm_BI	salm
2L	11455642	11456154	salm_blastoderm_early_enhancer	salm
2L	11388913	11397025	salm_BO	salm
2L	11362099	11363392	salm_EME	salm
2L	11399024	11399923	salm_IRU	salm
2L	11394024	11399025	salm_LA	salm
2L	11440772	11441271	salm_peak_+3.9	salm
2L	11476572	11477071	salm_peak_-31.9	salm
2L	11455642	11455884	salm_sal242S/P	salm
2L	11455878	11456154	salm_sal272P/P	salm
2L	11454356	11455434	salm_salE/Pv	salm
2L	11448952	11450039	salm_salm_TSE	salm
2L	11387167	11388914	salm_SE	salm
2L	11454486	11454814	salm_wingpouch_Guss	salm
2L	11380629	11381686	salm_ZA	salm
2L	13355940	13360172	salm_ZO	salm
2L	3823142	3824696	slp1_5-2	slp1
