Pubmed_id	Target gene_species_scientific	Target gene_name	Target gene_Refseq_acc	Target site_number	miRNA_species	miRNA_mature_ID	miRNA_regulation	Reporter_target gene/region	Reporter link element	Test_method_inter	Target gene mRNA_level	Original description	Mutation_target region	Post mutation_method	Original description_mutation_region	Target site_position	miRNA_regulation_site	Reporter_target site	Reporter link element	Test_method_inter_site	Original description_inter_site	Mutation_target site	Post mutation_method_site	Original description_mutation_site	Additional note
12808467	Homo sapiens	C21orf33	NM_198155	1	Homo sapiens	hsa-miR-23a	overexpression by mature miRNA transfection}{mutation}{siRNA anti-miRNA	luciferase	{target site}{target site}{target site}	{Western blot}{Western blot}	{unchanged}{unchanged}	{In addition, the level of HES1 mRNA remained constant irrespective of the presence or absence of either synthetic miR-23 or mutant miR-23 (Fig. 2c).These results further suggest that synthetic miR-23 might suppress the expression of the gene for Hes1 at the translational level.}{Moreover, the level of HES1 mRNA was unaffected by synthetic siRNA-miR-23 (Fig. 2g).These results indicate that synthetic siRNA-miR-23 interfered with the function of miR-23 and, as a result, it promoted the accumulation of Hes1 protein. These results strengthen our hypothesis that miR-23 regulates the expression of Hes1 at the post-transcriptional level.}				801	{mutation}{underexpression by siRNA transfection}		{target site}{target site}{target site}	{activity assay}{activity assay}{activity assay}	{Next, to examine whether expression of the gene for Hes1 is regulated by miR-23, we introduced synthetic miR-23 or mutant miR-23 (Fig. 2a) into undifferentiated NT2 cells. When synthetic miR-23 was introduced at 2 mMinto undifferentiated NT2 cells,the intracellular level of Hes1 fell significantly (Fig. 2b).By contrast,in the presence of synthetic mutant miR-23,the level of Hes1 in undifferentiated NT2 cells remained unchanged and similar to that in untreated wild-type NT2 cells (Fig. 2b)}{ To examine the function of miR-23 further, we tried to reduce the level of endogenous miR-23 using synthetic siRNA (siRNA-miR-23) targeted to a loop region of the precursor to miR-23 (Fig. 2d).siRNAs can induce the RNAi-mediated sequence-specific silencing of gene expression in mammalian cells32,33. RNAi refers to the sequence-specific silencing of gene expression that is induced by double-stranded RNAs in animals and plants34,35. When 100nM synthetic siRNA-miR-23 was introduced into differentiated NT2 cells, the intracellular level of precursor and mature miR-23 fell significantly (Fig. 2e). By contrast, the level of Hes1 protein increased in the presence of siRNA-miR-23 (Fig. 2f).}		{Luciferase activity assay}{Luciferase activity assay}{Luciferase activity assay}		
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-434-3p										839				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-434-5p										877				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-127										2516				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-433										3623				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-433*										3675				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-431										4945				{5'-RACE}					
15854907	Mus musculus	Rtl1	NM_184109	1	Mus musculus	mmu-miR-136										78				{5'-RACE}					
14697198	Homo sapiens	SMAD1	NM_005900	2	Homo sapiens	hsa-miR-26a										1924				{N/A}					
14697198	Homo sapiens	SMAD1	NM_005900	1	Homo sapiens	hsa-miR-26a										1868				{N/A}					
15854907	Ovis aries	unknown	unknown	1	Ovis aries	oar-miR-127										unknown				{5'-RACE}					There is no information of the target gene sequence in NCBI.
15854907	Ovis aries	unknown	unknown	1	Ovis aries	oar-miR-136										unknown				{5'-RACE}					There is no information of the target gene sequence in NCBI.
15854907	Ovis aries	unknown	unknown	1	Ovis aries	oar-miR-432										unknown				{5'-RACE}					There is no information of the target gene sequence in NCBI.
14697198	Homo sapiens	CXCL12	NM_199168	1	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1753				{N/A}					
14697198	Homo sapiens	CXCL12	NM_199168	3	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	unknown				{N/A}					
14697198	Homo sapiens	CXCL12	NM_199168	2	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1818				{N/A}					
14697198	Homo sapiens	POU4F2	NM_004575	2	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1658				{N/A}					
14697198	Homo sapiens	POU4F2	NM_004575	4	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	3141				{N/A}					
14697198	Homo sapiens	POU4F2	NM_004575	1	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1587				{N/A}					
14697198	Homo sapiens	POU4F2	NM_004575	3	Homo sapiens	hsa-miR-23a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1948				{N/A}					
14697198	Homo sapiens	MYCN	NM_005378	1	Homo sapiens	hsa-miR-101							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2196				{N/A}					
14697198	Homo sapiens	MYCN	NM_005378	2	Homo sapiens	hsa-miR-101							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2265				{N/A}					
14697198	Homo sapiens	PTEN	NM_000314	2	Homo sapiens	hsa-miR-19a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	3471				{N/A}					
14697198	Homo sapiens	PTEN	NM_000314	1	Homo sapiens	hsa-miR-19a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2661				{N/A}					
14697198	Homo sapiens	PTEN	NM_000314	3	Homo sapiens	hsa-miR-19a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	4502				{N/A}					
14697198	Homo sapiens	DLL1	NM_005618	1	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2846				{N/A}					
14697198	Homo sapiens	DLL1	NM_005618	2	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2942				{N/A}					
14697198	Homo sapiens	DLL1	NM_005618	3	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	3005				{N/A}					
14697198	Homo sapiens	NOTCH1	NM_017617	1	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	8584				{N/A}					
14697198	Homo sapiens	NOTCH1	NM_017617	2	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	unknown2				{N/A}					
14697198	Homo sapiens	NOTCH1	NM_017617	4	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	unknown4				{N/A}					
14697198	Homo sapiens	NOTCH1	NM_017617	3	Homo sapiens	hsa-miR-34a							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	unknown3				{N/A}					
14697198	Homo sapiens	G6PD	NM_001042351	2	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1833				{N/A}					
14697198	Homo sapiens	G6PD	NM_001042351	3	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2101				{N/A}					
14697198	Homo sapiens	G6PD	NM_001042351	1	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1765				{N/A}					
14697198	Homo sapiens	BDNF	NM_170735	1	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1533				{N/A}					
14697198	Homo sapiens	BDNF	NM_170735	2	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	1703				{N/A}					
14697198	Homo sapiens	BDNF	NM_170735	3	Homo sapiens	hsa-miR-1							{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2635				{N/A}					
14697198	Homo sapiens	CSF1	NM_000757	1	Homo sapiens	hsa-miR-130a				{activity assay}			{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	2661		{luciferase}		{N/A}	{For all eight predicted human targets of endogenous HeLa miRNAs that responded to mutations, the increase in expression seen when disrupting the pairing to the miRNA seed transwas at least as high as that seen for mutations in the outlet-7 target sites of lin-41 (Figure 3B).}				
14697198	Homo sapiens	CSF1	NM_000757	2	Homo sapiens	hsa-miR-130a				{activity assay}			{yes}		{[The mutation of the target sites  significantly enhanced the target gene's expression.]}	unknown		{luciferase}		{N/A}	{For all eight predicted human targets of endogenous HeLa miRNAs that responded to mutations, the increase in expression seen when disrupting the pairing to the miRNA seed transwas at least as high as that seen for mutations in the outlet-7 target sites of lin-41 (Figure 3B).}				
